mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02318234443664551,0.0008828098088362964,0.01279296875,0.00039336943135661326,4,1,"{'decisiontreeclassifier__max_depth': 4, 'decisiontreeclassifier__min_samples_leaf': 1}",0.9126213592233009,0.9504950495049505,0.92,0.9126213592233009,0.8936170212765958,0.9178709578456296,0.01850531916815638,21,0.9500000000000001,0.9408740359897171,0.9528535980148883,0.9576059850374065,0.9405684754521964,0.9483804188988417,0.006709928311338075
0.02270336151123047,0.0001285466133206593,0.012698602676391602,0.00019298557095622504,4,2,"{'decisiontreeclassifier__max_depth': 4, 'decisiontreeclassifier__min_samples_leaf': 2}",0.9126213592233009,0.9504950495049505,0.92,0.9126213592233009,0.8817204301075269,0.9154916396118159,0.021920472750086878,22,0.9500000000000001,0.9408740359897171,0.9528535980148883,0.9576059850374065,0.9378238341968912,0.9478314906477806,0.007403027742056444
0.024062538146972658,0.002319688737813171,0.013301515579223632,0.00030410588744131975,4,3,"{'decisiontreeclassifier__max_depth': 4, 'decisiontreeclassifier__min_samples_leaf': 3}",0.9126213592233009,0.9504950495049505,0.92,0.9126213592233009,0.8817204301075269,0.9154916396118159,0.021920472750086878,22,0.9447236180904524,0.9354005167958657,0.9528535980148883,0.9576059850374065,0.9378238341968912,0.9456815104271008,0.008508717865949355
0.023092317581176757,0.0003519978958467678,0.012942266464233399,0.00021881383331456936,4,4,"{'decisiontreeclassifier__max_depth': 4, 'decisiontreeclassifier__min_samples_leaf': 4}",0.9126213592233009,0.9504950495049505,0.92,0.9126213592233009,0.8817204301075269,0.9154916396118159,0.021920472750086878,22,0.9447236180904524,0.9354005167958657,0.9528535980148883,0.9576059850374065,0.9295039164490863,0.9440175268775398,0.010470135276339769
0.026539993286132813,0.0044974772815044245,0.013087940216064454,0.00043650641815032396,5,1,"{'decisiontreeclassifier__max_depth': 5, 'decisiontreeclassifier__min_samples_leaf': 1}",0.9702970297029702,0.9902912621359222,0.9607843137254902,0.9215686274509803,0.9278350515463918,0.9541552569123508,0.025942065171195242,6,0.9775561097256857,0.9825436408977556,0.9753694581280788,0.9850746268656716,0.9826302729528535,0.9806348217140091,0.00359276515532701
0.02409195899963379,0.002879505866650958,0.012807846069335938,0.00018416701747989443,5,2,"{'decisiontreeclassifier__max_depth': 5, 'decisiontreeclassifier__min_samples_leaf': 2}",0.9702970297029702,0.9902912621359222,0.9400000000000001,0.9215686274509803,0.9278350515463918,0.9499983941672528,0.02621062033355035,11,0.975,0.9825436408977556,0.9728395061728395,0.9800995024875622,0.9800995024875622,0.9781164304091439,0.003606200502956288
0.02412385940551758,0.0024802914373341233,0.014043807983398438,0.001732381716163419,5,3,"{'decisiontreeclassifier__max_depth': 5, 'decisiontreeclassifier__min_samples_leaf': 3}",0.9803921568627451,0.9803921568627451,0.9400000000000001,0.9320388349514563,0.9278350515463918,0.9521316400446678,0.023403142271888975,10,0.9698492462311559,0.9774436090225564,0.9704433497536946,0.9777777777777779,0.9800995024875622,0.9751226970545493,0.004169178649972436
0.022710561752319336,0.0005014359338514163,0.012842655181884766,0.00026864245454425584,5,4,"{'decisiontreeclassifier__max_depth': 5, 'decisiontreeclassifier__min_samples_leaf': 4}",0.9702970297029702,0.9803921568627451,0.9183673469387754,0.923076923076923,0.9278350515463918,0.9439937016255611,0.025969352180475535,17,0.9698492462311559,0.9748743718592966,0.9547738693467336,0.9679012345679012,0.9675810473815462,0.9669959538773266,0.006644576208689567
0.024938201904296874,0.0035839580597876943,0.013436841964721679,0.0010622845719183579,6,1,"{'decisiontreeclassifier__max_depth': 6, 'decisiontreeclassifier__min_samples_leaf': 1}",0.96,0.9902912621359222,0.9306930693069307,0.9215686274509803,0.9591836734693877,0.9523473264726441,0.024336295826851637,8,0.9900497512437811,0.9875311720698255,0.9875311720698255,0.9925925925925926,0.9950738916256158,0.9905557159203282,0.0029364778065909453
0.023510551452636717,0.00028571267619308956,0.01299581527709961,0.00033743861180932745,6,2,"{'decisiontreeclassifier__max_depth': 6, 'decisiontreeclassifier__min_samples_leaf': 2}",0.96,0.9902912621359222,0.9090909090909091,0.9215686274509803,0.9484536082474226,0.9458808813850469,0.02871528549454867,15,0.98,0.9824561403508771,0.985,0.9800995024875622,0.98,0.9815111285676877,0.0019811601867504866
